area,location,numOfTaken,numOfUntaken,numOfMonthlyGames,store_id
서울,신촌,412,665,11,0
서울,신림,365,712,11,1
서울,대학로,424,653,11,2
서울,강남,406,671,11,3
서울,노원,346,731,11,4
서울,홍대,294,783,11,5
서울,잠실새내,313,764,11,6
서울,연신내,345,732,11,7
서울,강남2호,340,737,11,8
서울,수유역,310,767,11,9
서울,이수역,346,731,11,10
서울,마곡발산역,305,772,11,11
서울,한양대,381,696,11,12
서울,서울대입구역,323,754,11,13
서울,성신여대,322,755,10,14
서울,성수,300,777,11,15
서울,종로,372,705,11,16
서울,인시네마강남,306,771,11,17
서울,방이,291,786,11,18
서울,영등포,312,765,11,19
서울,강남논현,515,562,11,20
서울,압구정로데오,278,799,11,21
서울,망원역,348,729,11,22
서울,오목교,277,800,11,23
서울,천호로데오,281,796,11,24
서울,둔촌역,278,799,11,25
서울,미아사거리,273,804,11,26
경기,서현,549,528,11,27
경기,안산,402,675,11,28
경기,범계,397,680,11,29
경기,수원,391,686,11,30
경기,부천,396,681,11,31
경기,영통,407,670,10,32
경기,안양,396,681,11,33
경기,산본,371,706,11,34
경기,화정,321,756,11,35
경기,아주대,330,747,10,36
경기,평택역,381,696,11,37
경기,웨스턴,302,775,11,38
경기,용인동백,290,787,9,39
경기,철산,315,762,11,40
경기,수원인계,331,746,10,41
경기,동탄북광장,316,761,11,42
경기,용인보정,329,748,11,43
경기,부천시청,337,740,11,44
경기,구리돌다리,416,661,11,45
경기,김포구래,310,767,11,46
경기,수지구청역,313,764,11,47
경기,미금역,313,764,11,48
경기,오산시청,318,759,11,49
경기,의정부민락,521,556,11,50
경기,평택소사벌,293,784,8,51
경기,광명하안,295,782,11,52
경기,파주야당,337,740,11,53
경기,수원행궁,289,788,11,54
경기,용인역북,317,760,10,55
경기,안산고잔,281,796,11,56
경기,다산신도시,271,806,11,57
경기,하남미사,270,807,11,58
경기,시흥정왕,278,799,10,59
경기,평내호평,274,803,11,60
인천,부평,485,592,11,61
인천,구월,433,644,10,62
인천,부평테마의거리,383,694,11,63
인천,인천논현,289,788,11,64
인천,인천검단신도시,322,755,11,65
인천,인천청라,411,666,11,66
충청,천안,386,691,11,67
충청,청주터미널,313,764,11,68
충청,청주성안길,288,789,11,69
대전,대전은행,380,697,11,70
대전,대전충남,360,717,11,71
대전,둔산,307,770,11,72
대구,동성로,473,604,11,73
대구,동성로2호,417,660,11,74
대구,광장코아,255,822,10,75
대구,계명대,277,800,11,76
경상,창원상남,358,719,11,77
경상,경남대,295,782,11,78
경상,거제고현,318,759,11,79
전라,전북대,326,751,11,80
전라,여수학동,292,785,11,81
전라,순천호수공원,263,814,11,82
전라,목포평화광장,279,798,11,83
울산,울산삼산,418,659,11,84
울산,울산성남,324,753,11,85
울산,울산일산지,246,831,11,86
광주,광주충장로,371,706,10,87
광주,전남대,289,788,11,88
광주,광주수완,319,758,11,89
광주,광주첨단,293,784,11,90
광주,광주상무,409,668,11,91
광주,광주진월,293,784,11,92
부산,서면,356,721,11,93
부산,경성대,370,707,11,94
부산,남포,366,711,11,95
부산,서면2호,379,698,11,96
부산,부산아트몰링하단,297,780,11,97
부산,부산덕천,344,733,11,98
부산,부산대,460,617,11,99
부산,부산사상,332,745,11,100
부산,광안리,300,777,11,101
부산,부산동래,322,755,11,102
제주,제주시청,297,780,10,103
